a_D	ein_D
a_D	ein_R
ability_N	fähigkeit_N
abuse_N	missbrauch_N
access_N	zugang_N
accordance_N	übereinstimmung_N
act_N	handlung_N
act_V	handeln_V
action_N	maßnahme_N
adaptation_N	anpassung_N
additional_A	zusätzlich_A
adequate_A	angemessen_A
administrative_A	administrativ_A
advertising_N	werbung_N
advice_N	rat_N
age_N	alter_N
agency_N	agentur_N
agreement_N	vereinbarung_N
aim_N	ziel_N
all_D	alle_D
all_D	alle_P
also_R	auch_R
amendment_N	änderung_N
amount_N	menge_N
analysis_N	analyse_N
and_C	und_C
annual_A	jährlich_A
anonymous_A	anonym_A
apparent_A	offensichtlich_A
applicable_A	anwendbar_A
application_N	anwendung_N
appropriate_A	angemessen_A
area_N	bereich_N
article_N	artikel_N
as_S	wie_C
as_S	wie_P
aspect_N	aspekt_N
assessment_N	bewertung_N
at_S	bei_S
attack_N	angriff_N
audit_N	überprüfung_N
automatic_A	automatisch_A
availability_N	verfügbarkeit_N
available_A	verfügbar_A
aware_A	bewusst_A
ban_N	verbot_N
basis_N	basis_N
be_V	sein_D
be_V	sein_V
bear_V	tragen_V
become_V	werden_V
behaviour_N	verhalten_N
benefit_N	vorteil_N
between_S	zwischen_S
breach_N	verstoß_N
broad_A	breit_A
by_N	durch_S
by_S	durch_R
by_S	durch_S
can_M	können_V
cancer_N	krebs_N
carry_V	tragen_V
case_N	fall_N
category_N	kategorie_N
cause_N	ursache_N
central_A	zentral_A
certain_A	bestimmt_A
certainty_N	sicherheit_N
certification_N	zertifizierung_N
challenge_N	herausforderung_N
chapter_N	kapitel_N
character_N	charakter_N
characteristic_N	eigenschaft_N
charter_N	charta_N
child_N	kind_N
choice_N	wahl_N
church_N	kirche_N
circumstance_N	umstand_N
claim_N	anspruch_N
clear_A	klar_A
client_N	kunde_N
clinical_A	klinisch_A
coherent_A	kohärent_A
combination_N	kombination_N
commission_N	kommission_N
committee_N	ausschuss_N
common_A	gemeinsam_A
communication_N	kommunikation_N
community_N	gemeinschaft_N
compatible_A	kompatibel_A
competition_N	wettbewerb_N
complaint_N	beschwerde_N
compliance_N	einwilligung_N
comprehensive_A	umfassend_A
concept_N	begriff_N
condition_N	bedingung_N
confidential_A	vertraulich_A
confirmation_N	bestätigung_N
conflict_N	konflikt_N
connection_N	verbindung_N
conscience_N	gewissen_N
consensus_N	konsens_N
consist_V	bestehen_V
contact_N	kontakt_N
contagious_A	ansteckend_A
content_N	inhalt_N
context_N	kontext_N
contract_N	vertrag_N
control_N	kontrolle_N
conviction_N	überzeugung_N
copyright_N	urheberrecht_N
correspond_V	entsprechen_V
crime_N	verbrechen_N
criterion_N	kriterium_N
cultural_A	kulturell_A
currency_N	währung_N
current_A	gegenwärtig_A
customer_N	kunde_N
damage_N	schaden_N
data_N	datum_N
date_N	datum_N
day_N	tag_N
decision_N	entscheidung_N
declaration_N	erklärung_N
definitive_A	endgültig_A
degree_N	grad_N
delay_N	verzögerung_N
democratic_A	demokratisch_A
demonstration_N	demonstration_N
dependent_A	abhängig_A
depression_N	depression_N
description_N	beschreibung_N
designation_N	benennung_N
destruction_N	zerstörung_N
development_N	entwicklung_N
diagnosis_N	diagnose_N
difference_N	unterschied_N
different_A	verschieden_A
difficult_A	schwer_A
digital_A	digital_A
dignity_N	würde_N
diplomatic_A	diplomatisch_A
direct_A	direkt_A
disability_N	behinderung_N
disadvantage_N	nachteil_N
discrimination_N	diskriminierung_N
discussion_N	diskussion_N
disease_N	krankheit_N
disseminate_V	verbreiten_V
dissemination_N	verbreitung_N
document_N	dokument_N
documentation_N	dokumentation_N
doubt_N	zweifel_N
duration_N	dauer_N
duty_N	pflicht_N
easy_A	leicht_A
education_N	bildung_N
effective_A	wirksam_A
effectiveness_N	wirksamkeit_N
efficiency_N	effizienz_N
effort_N	anstrengung_N
elect_V	wählen_V
electronic_A	elektronisch_A
element_N	element_N
employee_N	arbeitnehmer_N
employer_N	arbeitgeber_N
employment_N	arbeit_N
end_V	enden_V
entire_A	ganz_A
epidemic_N	epidemie_N
ethical_A	ethisch_A
ethnic_A	ethnisch_A
european_A	europäisch_A
evidence_N	beweis_N
exception_N	ausnahme_N
exceptional_A	außergewöhnlich_A
excessive_A	übermäßig_A
exchange_N	austausch_N
exist_V	bestehen_V
existence_N	existenz_N
expectation_N	erwartung_N
experience_N	erfahrung_N
expiry_N	ablauf_N
explicit_A	eindeutig_A
extensive_A	umfangreich_A
extent_N	umfang_N
fact_N	tatsache_N
factor_N	faktor_N
fall_V	fallen_V
fee_N	gebühr_N
final_A	endgültig_A
financial_A	finanziell_A
fine_N	geldbuße_N
follow_V	folgen_V
foreseeable_A	vorhersehbar_A
form_N	form_N
format_N	format_N
fraud_N	betrug_N
free_A	frei_A
freedom_N	freiheit_N
full_A	voll_A
function_N	zweck_N
function_V	funktionieren_V
functional_A	funktional_A
general_A	allgemein_A
genetic_A	genetisch_A
genuine_A	echt_A
give_V	geben_V
go_V	gehen_V
good_A	gut_A
government_N	regierung_N
ground_N	grund_N
group_N	gruppe_N
guarantee_N	garantie_N
guidance_N	anleitung_N
have_V	haben_V
he_P	er_P
high_A	hoch_A
hindrance_N	behinderung_N
horizontal_A	horizontal_A
hospital_N	krankenhaus_N
hour_N	stunde_N
human_A	menschlich_A
humanitarian_A	humanitär_A
identity_N	identität_N
if_N	wenn_C
if_S	wenn_C
immediate_A	unmittelbar_A
imply_V	bedeuten_V
importance_N	wichtigkeit_N
important_A	wichtig_A
impossible_A	unmöglich_A
in_N	in_S
in_S	in_S
incomplete_A	unvollständig_A
inconvenience_N	unannehmlichkeit_N
increase_N	anstieg_N
independence_N	unabhängigkeit_N
independent_A	unabhängig_A
individual_A	individuell_A
influence_N	einfluss_N
information_N	information_N
infrastructure_N	infrastruktur_N
infringement_N	verletzung_N
inspection_N	inspektion_N
instead_R	stattdessen_R
institution_N	institution_N
insufficient_A	unzureichend_A
integration_N	integration_N
intentional_A	vorsätzlich_A
interest_N	interesse_N
internal_A	intern_A
international_A	international_A
interval_N	abstand_N
introduction_N	einführung_N
investigate_V	untersuchen_V
investigation_N	untersuchung_N
issue_N	angelegenheit_N
it_P	es_P
judgment_N	urteil_N
judicial_A	gerichtlich_A
kind_N	art_N
lack_N	mangel_N
language_N	sprache_N
large_A	groß_A
late_A	spät_A
law_N	gesetz_N
lawyer_N	rechtsanwalt_N
lead_V	führen_V
legislator_N	gesetzgeber_N
level_N	niveau_N
liability_N	verantwortung_N
life_N	leben_N
likelihood_N	wahrscheinlichkeit_N
likely_A	wahrscheinlich_A
list_N	liste_N
literary_A	literarisch_A
local_A	lokal_A
location_N	ort_N
logic_N	logik_N
long_A	lang_A
loss_N	verlust_N
low_A	niedrig_A
majority_N	mehrheit_N
make_V	machen_V
mandate_N	mandat_N
manual_A	manuell_A
mathematical_A	mathematisch_A
matter_N	angelegenheit_N
mean_N	mittel_N
measure_N	maßnahme_N
mechanism_N	mechanismus_N
medical_A	medizinisch_A
meet_V	treffen_V
member_N	mitglied_N
mental_A	geistig_A
method_N	methode_N
modality_N	modalität_N
monitor_V	überwachen_V
monitoring_N	überwachung_N
month_N	monat_N
more_D	mehr_D
more_R	mehr_D
more_R	mehr_R
more_R	mehr_R
multilateral_A	multilateral_A
name_N	name_N
national_A	national_A
natural_A	natürlich_A
necessary_A	notwendig_A
necessity_N	notwendigkeit_N
new_A	neu_A
news_N	nachricht_N
no_D	kein_D
not_R	nicht_R
notification_N	benachrichtigung_N
number_N	anzahl_N
number_N	zahl_N
objective_A	objektiv_A
objective_N	ziel_N
obligation_N	verpflichtung_N
obstacle_N	hindernis_N
obtain_V	gelten_V
occasional_A	gelegentlich_A
of_S	auf_R
of_S	auf_S
office_N	amt_N
official_A	offiziell_A
on_S	auf_R
on_S	auf_S
opinion_N	meinung_N
opportunity_N	gelegenheit_N
or_C	oder_C
origin_N	herkunft_N
overview_N	überblick_N
own_A	eigen_A
page_N	seite_N
paragraph_N	absatz_N
parental_A	elterlich_A
parliament_N	parlament_N
particular_A	bestimmt_A
partly_R	teilweise_R
party_N	partei_N
patient_N	patient_N
pay_V	zahlen_V
payment_N	zahlung_N
performance_N	leistung_N
permanent_A	ständig_A
permit_N	genehmigung_N
permit_V	erlauben_V
person_N	person_N
personal_A	personenbezogen_A
personal_A	persönlich_A
pertain_V	gehören_V
physical_A	physisch_A
physician_N	arzt_N
physiological_A	physiologisch_A
place_N	ort_N
plaintiff_N	kläger_N
planning_N	planung_N
political_A	politisch_A
position_N	stelle_N
possibility_N	möglichkeit_N
possible_A	möglich_A
potential_A	möglich_A
practical_A	praktisch_A
prejudicial_A	abträglich_A
preparation_N	vorbereitung_N
prevention_N	prävention_N
private_A	privat_A
procedure_N	maßnahme_N
process_V	verarbeiten_V
processing_N	verarbeitung_N
product_N	produkt_N
profession_N	beruf_N
progress_N	fortschritt_N
prohibit_V	verbieten_V
prohibition_N	verbot_N
project_N	projekt_N
proposal_N	vorschlag_N
protect_V	schützen_V
protection_N	schutz_N
provision_N	maßnahme_N
public_A	öffentlich_A
publication_N	veröffentlichung_N
purpose_N	zweck_N
pursue_V	verfolgen_V
qualification_N	qualifikation_N
quality_N	qualität_N
question_N	frage_N
race_N	rasse_N
react_V	reagieren_V
reason_N	grund_N
reasonable_A	vernünftig_A
recipient_N	empfänger_N
recognition_N	anerkennung_N
recommendation_N	empfehlung_N
record_N	aufzeichnung_N
reference_N	bezug_N
refusal_N	ablehnung_N
regional_A	regional_A
register_N	register_N
regular_A	regelmäßig_A
relationship_N	beziehung_N
religion_N	religion_N
religious_A	religiös_A
remain_V	bleiben_V
report_N	bericht_N
report_V	berichten_V
require_V	erfordern_V
requirement_N	bedingung_N
research_N	forschung_N
researcher_N	forscher_N
resignation_N	rücktritt_N
resource_N	ressource_N
respective_A	jeweilig_A
response_N	antwort_N
responsibility_N	verantwortung_N
responsible_A	verantwortlich_A
restrict_V	beschränken_V
restriction_N	beschränkung_N
result_N	ergebnis_N
revocation_N	widerruf_N
revoke_V	widerrufen_V
right_N	recht_N
risk_N	risiko_N
rule_N	regel_N
safety_N	sicherheit_N
sample_N	probe_N
scientific_A	wissenschaftlich_A
scope_N	umfang_N
seal_N	siegel_N
section_N	abschnitt_N
security_N	sicherheit_N
see_V	sehen_V
serve_V	dienen_V
service_N	dienst_N
setting_N	einstellung_N
sexual_A	sexuell_A
she_P	sie_P
short_A	kurz_A
similar_A	ähnlich_A
simple_A	einfach_A
simultaneous_A	gleichzeitig_A
single_A	einzeln_A
situation_N	situation_N
size_N	größe_N
small_A	klein_A
so_R	so_R
social_A	sozial_A
society_N	gesellschaft_N
sole_A	einzig_A
solution_N	lösung_N
source_N	quelle_N
specific_A	spezifisch_A
specification_N	spezifikation_N
sport_N	sport_N
standard_N	standard_N
state_N	stand_N
statistical_A	statistisch_A
status_N	status_N
step_N	schritt_N
structure_N	struktur_N
subject_N	gegenstand_N
subsequent_A	folgend_A
sufficient_A	ausreichend_A
suitable_A	geeignet_A
summary_N	zusammenfassung_N
superfluous_A	überflüssig_A
supervision_N	aufsicht_N
support_N	unterstützung_N
symbol_N	symbol_N
system_N	system_N
systematic_A	systematisch_A
task_N	aufgabe_N
tax_N	steuer_N
team_N	team_N
technical_A	technisch_A
technology_N	technologie_N
text_N	text_N
that_D	dass_C
that_S	dass_C
that_W	dass_C
the_D	der_D
the_D	der_P
the_N	der_D
the_N	der_P
then_R	dann_R
theory_N	theorie_N
they_P	sie_P
they_P	sie_P
this_D	dieser_D
this_D	dieser_P
this_N	dieser_D
this_N	dieser_P
thought_N	gedanke_N
time_N	zeit_N
title_N	titel_N
to_N	zu_S
together_R	zusammen_R
totalitarian_A	totalitär_A
translation_N	übersetzung_N
treatment_N	behandlung_N
treaty_N	vertrag_N
unambiguous_A	eindeutig_A
understand_V	verstehen_V
undertaking_N	unternehmen_N
unfounded_A	unbegründet_A
unlikely_A	unwahrscheinlich_A
urgent_A	dringend_A
valid_A	gültig_A
value_N	wert_N
voluntary_A	freiwillig_A
vote_N	stimme_N
way_N	weg_N
way_N	weise_N
week_N	woche_N
which_W	der_P
work_N	arbeit_N
worldwide_A	weltweit_A
year_N	jahr_N
yet_R	noch_R
